Applicant,BLA Number,Proprietary Name,Proper Name,BLA Type,Strength,Dosage Form,Route of Administration,Product Presentation,Marketing Status,Licensure,Ref. Product Proper Name,Supplement Number,Submission Type,License Number,Product Number,Center,Orphan Exclusivity Exp. Date,Approval_Status,Approval_Status_binary
Grifols Therapeutics LLC,103174.0,Other,Alpha-1-Proteinase Inhibitor (Human),351(a),485,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,2-Dec-94,Approved,1
Grifols Therapeutics LLC,103174.0,Other,Alpha-1-Proteinase Inhibitor (Human),351(a),485,For Injection,Intravenous,Single-Dose Vial,Disc,Licensed, ,0,Original,7.534762657037537,2.0,CBER,2-Dec-94,Rejected or Not Approved,0
Grifols Therapeutics LLC,103174.0,Other,Alpha-1-Proteinase Inhibitor (Human),351(a),485,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,6160,Supplement,7.534762657037537,3.0,CBER,2-Dec-94,Approved,1
Grifols Therapeutics LLC,103174.0,Other,Alpha-1-Proteinase Inhibitor (Human),351(a),485,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,6314,Supplement,7.534762657037537,4.0,CBER,2-Dec-94,Approved,1
Grifols Therapeutics LLC,103174.0,Other,Alpha-1-Proteinase Inhibitor (Human),351(a),485,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,6314,Supplement,7.534762657037537,5.0,CBER,2-Dec-94,Approved,1
Seqirus Pty Ltd.,125254.0,Other,Influenza Vaccine,351(a),225,Injection,Intramuscular,Multi-Dose Vial,Rx,Licensed, ,0,Original,7.623153068476902,1.0,CBER,24-Mar-02,Approved,1
Seqirus Pty Ltd.,125254.0,Other,Influenza Vaccine,351(a),45,Injection,Intramuscular,Other,Rx,Licensed, ,0,Original,7.623153068476902,2.0,CBER,24-Mar-02,Approved,1
Seqirus Pty Ltd.,125254.0,Other,Influenza Vaccine,351(a),60,Injection,Intramuscular,Pre-Filled Syringe,Disc,Licensed, ,565,Supplement,7.623153068476902,3.0,CBER,24-Mar-02,Rejected or Not Approved,0
Seqirus Pty Ltd.,125254.0,Other,Influenza Vaccine,351(a),60,Injection,Intramuscular,Multi-Dose Vial,Disc,Licensed, ,565,Supplement,7.623153068476902,4.0,CBER,24-Mar-02,Rejected or Not Approved,0
Other,125730.0,Other,Other,351(a),100,Cell Sheets,Topical,Other,Disc,Other,nan,0,Original,7.6708948313621175,1.0,CBER,Other,Rejected or Not Approved,0
Ferring Pharmaceuticals Inc.,125739.0,Other,Other,351(a),1,Suspension,Rectal,Single-Use Bottle,Rx,Licensed,nan,0,Original,7.655864017616056,1.0,CBER,Other,Approved,1
"Aimmune Therapeutics, Inc.",125757.0,Other,Other,351(a),1,Capsule,Oral,Bottle,Rx,Licensed,nan,0,Original,7.6544432264701125,1.0,CBER,Other,Approved,1
Other,125764.0,Other,Other,351(a),1,Injection,Intravenous,Bag,Rx,Licensed,nan,0,Original,7.732369222284388,1.0,CBER,24-Mar-02,Approved,1
Sandoz Inc.,159721.25,Hyrimoz,adalimumab-adaz,351(k) Interchangeable,80,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,adalimumab,14,Supplement,7.602900462204755,8.0,CDER,24-Mar-02,Approved,1
Sandoz Inc.,159721.25,Hyrimoz,adalimumab-adaz,351(k) Interchangeable,10,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,adalimumab,14,Supplement,7.602900462204755,8.5,CDER,24-Mar-02,Approved,1
Sandoz Inc.,159721.25,Hyrimoz,adalimumab-adaz,351(k) Interchangeable,20,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,adalimumab,14,Supplement,7.602900462204755,8.5,CDER,24-Mar-02,Approved,1
Biocon Biologics Inc.,159721.25,Other,Other,351(k) Interchangeable,40,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,adalimumab,0,Original,7.751475318021456,1.0,CDER,24-Mar-02,Approved,1
Biocon Biologics Inc.,159721.25,Other,Other,351(k) Interchangeable,40,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,adalimumab,0,Original,7.751475318021456,2.0,CDER,24-Mar-02,Approved,1
Biocon Biologics Inc.,159721.25,Other,Other,351(k) Interchangeable,20,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,adalimumab,0,Original,7.751475318021456,3.0,CDER,24-Mar-02,Approved,1
Amgen Inc.,159721.25,Other,Other,351(k) Biosimilar,90,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,ustekinumab,1,Supplement,6.985641817639208,5.0,CDER,24-Mar-02,Approved,1
Eli Lilly and Company,159721.25,Other,Other,351(a),100,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,nan,2,Supplement,7.545389749611823,3.0,CDER,24-Mar-02,Approved,1
Eli Lilly and Company,159721.25,Other,Other,351(a),200,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,nan,2,Supplement,7.545389749611823,4.0,CDER,24-Mar-02,Approved,1
Eli Lilly and Company,159721.25,Other,Other,351(a),200,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,nan,2,Supplement,7.545389749611823,5.0,CDER,24-Mar-02,Approved,1
Sandoz Inc.,159721.25,Other,Other,351(k) Interchangeable,60,Injection ,Subcutaneous,Pre-Filled Syringe,Disc,Licensed,Other,0,Original,7.602900462204755,1.0,CDER,24-Mar-02,Rejected or Not Approved,0
Sandoz Inc.,159721.25,Other,Other,351(k) Interchangeable,120,Injection ,Subcutaneous,Single-Dose Vial,Disc,Licensed,Other,0,Original,7.602900462204755,2.0,CDER,24-Mar-02,Rejected or Not Approved,0
Other,159721.25,Other,Other,351(a),100,Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,nan,0,Original,7.663407664893479,1.0,CDER,24-Mar-02,Approved,1
"CELLTRION, Inc.",159721.25,Other,Other,351(k) Interchangeable,80,Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,tocilizumab,0,Original,7.599401333415815,1.0,CDER,24-Mar-02,Approved,1
"CELLTRION, Inc.",159721.25,Other,Other,351(k) Interchangeable,200,Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,tocilizumab,0,Original,7.599401333415815,2.0,CDER,24-Mar-02,Approved,1
"CELLTRION, Inc.",159721.25,Other,Other,351(k) Interchangeable,400,Injection ,Intravenous,Single-Dose Vial,Rx,Licensed,tocilizumab,0,Original,7.599401333415815,3.0,CDER,24-Mar-02,Approved,1
"CELLTRION, Inc.",159721.25,Other,Other,351(k) Interchangeable,162,Injection ,Subcutaneous,Pre-Filled Syringe,Rx,Licensed,tocilizumab,0,Original,7.599401333415815,4.0,CDER,24-Mar-02,Approved,1
"CELLTRION, Inc.",159721.25,Other,Other,351(k) Biosimilar,162,Injection ,Subcutaneous,Autoinjector,Rx,Licensed,tocilizumab,0,Original,7.599401333415815,5.0,CDER,24-Mar-02,Approved,1
Other,159721.25,Other,Other,351(a),50,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,nan,0,Original,7.71333788887187,1.0,CDER,24-Mar-02,Approved,1
Other,159721.25,Other,Other,351(a),100,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed,nan,0,Original,7.71333788887187,2.0,CDER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101062.0,Aranesp,Other,351(a),485,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101062.0,Aranesp,Other,351(a),485,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,2.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101066.0,Other,Other,351(a),5,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101066.0,Other,Other,351(a),40,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,2.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101066.0,Other,Other,351(a),10,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,3.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101068.0,Other,Other,351(a),485,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Merck Sharp & Dohme LLC,101069.0,Other,Other,351(a),0,For Injection,Subcutaneous,Single-Dose Vial,Rx,Licensed, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101069.0,Other,Other,351(a),0,For Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,5846,Supplement,1.0986122886681098,2.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101072.0,Other,Other,351(a),0,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Merck Sharp & Dohme LLC,101075.0,Other,Other,351(a),485,For Injection,Subcutaneous,Vial,Disc,Voluntarily Revoked, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Merck Sharp & Dohme LLC,101094.0,Other,Other,351(a),25,Injection,Intramuscular,Vial,Rx,Licensed, ,0,Original,1.0986122886681098,1.0,CBER,24-Mar-02,Approved,1
Merck Sharp & Dohme LLC,101094.0,Other,Other,351(a),25,Injection,Subcutaneous,Vial,Rx,Licensed, ,0,Original,1.0986122886681098,2.0,CBER,24-Mar-02,Approved,1
Wyeth Pharmaceuticals LLC,101098.0,Aranesp,Other,351(a),10,For Injection,Intravenous,Vial,Disc,Voluntarily Revoked, ,0,Original,1.3862943611198906,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Wyeth Pharmaceuticals LLC,101099.0,Aranesp,Other,351(a),10,For Injection,Intravenous,Vial,Disc,Licensed, ,0,Original,1.3862943611198906,1.0,CBER,24-Mar-02,Rejected or Not Approved,0
Grifols Therapeutics LLC,101130.0,Other,Antihemophilic Factor (Human),351(a),1,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101130.0,Other,Antihemophilic Factor (Human),351(a),250,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101130.0,Other,Antihemophilic Factor (Human),351(a),485,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,3.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101134.0,Other,Other,351(a),16,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),2,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),25,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),20,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,3.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),10,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,4.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),12,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,5.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),5,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,6.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),25,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,7.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101138.0,Other,Albumin (Human),351(a),12,For Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,8.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101140.0,Other,Other,351(a),25,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101140.0,Other,Other,351(a),2,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101140.0,Other,Other,351(a),12,Injection,Intravenous,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,3.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101141.0,Other,Other,351(a),485,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101141.0,Other,Other,351(a),250,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101142.0,Other,Other,351(a),250,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101144.0,Other,Other,351(a),300,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101144.0,Other,Other,351(a),485,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101144.0,Other,Other,351(a),485,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,5817,Supplement,7.534762657037537,3.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101146.0,Other,Other,351(a),220,Injection,Intramuscular,Pre-Filled Syringe,Rx,Licensed, ,0,Original,7.534762657037537,1.0,CBER,24-Mar-02,Approved,1
Grifols Therapeutics LLC,101146.0,Other,Other,351(a),220,Injection,Intramuscular,Single-Dose Vial,Rx,Licensed, ,0,Original,7.534762657037537,2.0,CBER,24-Mar-02,Approved,1
